    n | CN                                       | FR                                                           | EN                                                
 1579 | 封尊杀劫！                                    | "La Calamité du Seigneur du Royaume Scellé !"                | "Chapter 1579 - The Lord of the Sealed Realm’s C  
 1580 | 激战！                                      | "Bataille féroce !"                                          | "Chapter 1580 - Fierce Battle!"                   
 1581 | 杀一人！（第一更）                                | Tuer une personne                                            | Chapter 1581 - Kill One Person                    
 1582 | 阴月有晴！（第二更）                               | "Lune Sombre, Ciel Clair !"                                  | "Chapter 1582 - Dark Moon Clear Sky!"             
 1583 | 仙人不灭体！（第三更）                              | "Corps Céleste Immortel !"                                   | "Chapter 1583 - Immortal Celestial Body!"         
 1584 | 天尊夺舍！（第四更）                               | "Possession par le Maître Céleste !"                         | "Chapter 1584 - Heavenly Master Possession!"      
 1585 | 一箭之威！                                    | "La Puissance d'une Flèche !"                                | "Chapter 1585 - The Might of an Arrow!"           
 1586 | 仙古分！                                     | "Séparation entre le Céleste et l'Antique !"                 | "Chapter 1586 - Celestial and Ancient Separate!"  
 1587 | 恩断！（第一更）                                 | "La bonté a ses limites !"                                   | "Chapter 1587 - Kindness Ends!"                   
 1588 | 生死！（第二更）                                 | Vie et Mort                                                  | Chapter 1588 - Life and Death                     
 1589 | 梦仙，还是仙梦！（第三更）                            | "Rêve Céleste ou Rêve du Ciel !"                             | "Chapter 1589 - Dream of Celestial or Celestial   
 1590 | 梦如人生                                     | Un rêve ressemble à la vie                                   | Chapter 1590 - A Dream is Like Life               
 1591 | 未醒时                                      | Quand vous ne vous réveillez pas                             | Chapter 1591 - When You Don’t Wake Up             
 1592 | 人生如戏我是谁                                  | La vie est comme une pièce de théâtre, qui suis-je ?         | Chapter 1592 - Life is Like a Play, Who Am I      
 1593 | 古庙夜雨归魂来                                  | "L'âme revient au temple antique par une nuit de pluie"      | Chapter 1593 - The Soul Returns to the Ancient T  
 1594 | 回首一望轮回在                                  | Regard sur le passé et réincarnation                         | Chapter 1594 - Looking Back and There is Reincar  
 1595 | 炼魂宗的因                                    | "La cause karmique du Secte de l'Affinement de l'Âme"        | Chapter 1595 - Soul Refining Sect’s Karmic Cause  
 1596 | 炼魂宗的果                                    | "L'effet karmique de la Secte du Raffinement de l'Âme"       | Chapter 1596 - Soul Refining Sect’s Karmic Effec  
 1597 | 数百年前的一句话                                 | "Une seule phrase venue d'il y a des siècles"                | Chapter 1597 - The One Line From Hundreds of Yea  
 1598 | 一次约会                                     | Une Rencontre                                                | Chapter 1598 - A Meeting                          
 1599 | 苏道                                       | Su Dao                                                       | Chapter 1599 - Su Dao                             
 1600 | 十年                                       | 10 Ans                                                       | Chapter 1600 - 10 Years                           
 1601 | 家书                                       | Lettre à la maison                                           | Chapter 1601 - Letter Home                        
 1602 | 你敢！                                      | "Vous osez !"                                                | "Chapter 1602 - You Dare!"                        
 1603 | 家在恒岳山下                                   | Le foyer est sous la montagne Heng Yue                       | Chapter 1603 - Home is Under the Heng Yue Mounta  
 1604 | 怀中老父瞑                                    | Au fond de mon cœur, ce vieil homme comprend                 | Chapter 1604 - In My Heart, This Old Man Underst  
 1605 | 柳眉，眼眉的眉                                  | Liu Mei                                                      | Chapter 1605 - Liu Mei                            
 1606 | 客从雪域来                                    | Un Invité de Xue Yue                                         | Chapter 1606 - A Guest From Xue Yue               
 1607 | 李慕婉                                      | Li Muwan                                                     | Chapter 1607 - Li Muwan                           
 1608 | 这一眼                                      | Ce Regard                                                    | Chapter 1608 - This Gaze                          
 1609 | 梦问己（第一更）                                 | Le Rêve vous interroge                                       | Chapter 1609 - The Dream Questions You            
 1610 | 缘起空（第二更）                                 | "L'Origine du Vide"                                          | Chapter 1610 - Origin of Void                     
 1611 | 红颜（第三更）                                  | Une femme magnifique                                         | Chapter 1611 - A Beautiful Woman                  
 1612 | 与己一会                                     | Une Rencontre Avec Soi-Même                                  | Chapter 1612 - A Meeting With Yourself            
 1613 | 梦醒！（化凡终）                                 | "L'Éveil du Rêve !"                                          | "Chapter 1613 - Awaken From Dream!"               
 1614 | 因果印                                      | Empreinte du Karma                                           | Chapter 1614 - Karma Print                        
 1615 | 众修目前空门现                                  | "De nombreux cultivateurs témoignent de l'ouverture du Por   | Chapter 1615 - Many Cultivators Witness the Void  
 1616 | 本源一出万人惊                                  | Des Essences qui Choquèrent Tout le Monde                    | Chapter 1616 - Essences That Shocked Everyone     
 1617 | 这里是，仙罡大陆                                 | Voici le Continent des Immortels Célestes                    | Chapter 1617 - This is the Celestial Immortal Co  
 1618 | 轰开门，就是大能                                 | Briser la Porte signifie atteindre le troisième échelon      | Chapter 1618 - Breaking the Gate Means Reaching   
 1619 | 一语雷霆四海轰                                  | Un mot et le tonnerre déferle comme une mer                  | Chapter 1619 - One Word and the Thunder Surges L  
 1620 | 雷门一开惊人鸣                                  | "La Porte du Vide s'ouvre sur un spectacle fracassant"       | Chapter 1620 - The Thunder Gate Opens to a Shock  
 1621 | 万空骨门                                     | La Porte des Dix Mille Os du Vide                            | Chapter 1621 - Ten Thousand Void Bone Gate        
 1622 | 出手大道                                     | Attaquer avec le Grand Dao                                   | Chapter 1622 - Attacking With Grand Dao           
 1623 | 虚神天尊                                     | Le Maître Céleste Dieu du Vide                               | Chapter 1623 - Heaven Master Void God             
 1624 | 三步开弓                                     | "Trois étapes pour bander l'arc"                             | Chapter 1624 - Three Steps to Draw the Bow        
 1625 | 往昔宝复                                     | Restaurer les trésors du passé                               | Chapter 1625 - Restoring Past Treasures           
 1626 | 第三个么                                     | Le Troisième ?                                               | Chapter 1626 - The Third One                      
 1627 | 我意劫                                      | Ma Rétribution                                               | Chapter 1627 - My Retribution                     
 1628 | 幻真劫                                      | Rétribution de la Réalité Fantastique                        | Chapter 1628 - Fantasy Reality Retribution        
 1629 | 不堪一击                                     | "Incapable d'encaisser un seul coup"                         | Chapter 1629 - Unable to Withstand a Single Blow  
 1630 | 封命环                                      | "L'Anneau de Scellement du Destin"                           | Chapter 1630 - Fate Sealing Ring                  
 1631 | 远古仙域                                     | Royaume Céleste Antique                                      | Chapter 1631 - Ancient Celestial Realm            
 1632 | 本我劫                                      | Rétribution Divine Personnelle                               | Chapter 1632 - Self Divine Retribution            
 1633 | 斩本我                                      | Me punir moi-même                                            | Chapter 1633 - Punish Myself                      
 1634 | 一个洞府                                     | Une Grotte                                                   | Chapter 1634 - A Cave                             
 1635 | 主宰命运                                     | Contrôler le Destin                                          | Chapter 1635 - Controlling Fate                   
 1636 | 疗伤的残仙                                    | Les vestiges célestes en voie de récupération                | Chapter 1636 - The Recovering Remnant Celestials  
 1637 | 定空术                                      | "Sort d'Arrêt du Vide"                                       | Chapter 1637 - Void Stop Spell                    
 1638 | 封印现（第一更）                                 | "L'Apparition du Sceau"                                      | Chapter 1638 - The Seal Appears                   
 1639 | 仙人忆（第二更）                                 | Mémoire des Célestes                                         | Chapter 1639 - Memory of the celestials           
 1640 | 七道宗（第三更）                                 | La Secte des Sept Dao                                        | Chapter 1640 - Seven Dao Sect                     
 1641 | 仙人不外如此（第四更）                              | Les Célestes ne sont rien de spécial                         | Chapter 1641 - Celestials Aren’t Anything Specia  
 1642 | 虎啸山河（第一更）                                | Le Rugissement du Tigre Balaye les Montagnes et les Rivièr   | Chapter 1642 - Tiger Roar Sweeps the Mountains a  
 1643 | 骑虎不下（第二更）                                | "Si l'on monte sur un tigre, il est difficile d'en descend   | Chapter 1643 - If You Ride a Tiger, It’s Hard to  
 1644 | 静！（第三更）                                  | "Calme !"                                                    | "Chapter 1644 - Calm!"                            
 1645 | 交易（第一更）                                  | Accord                                                       | Chapter 1645 - Deal                               
 1646 | 与司徒一醉（第二更）                               | "S'enivrer avec Situ"                                        | Chapter 1646 - Being Drunk With Situ              
 1647 | 担当！（第三更）                                 | "Assumer ses responsabilités !"                              | "Chapter 1647 - Taking Responsibility!"           
 1648 | 太静了                                      | Trop silencieux                                              | Chapter 1648 - Too Quiet                          
 1649 | 还不够！                                     | "Encore pas assez !"                                         | "Chapter 1649 - Still Not Enough!"                
 1650 | 斩三步！（第一更）                                | "Tuer l'étape de la troisième étape !"                       | "Chapter 1650 - Kill Third Step!"                 
 1651 | 验证的方法（第二更）                               | Méthode de Validation                                        | Chapter 1651 - Method of Validation               
 1652 | 强！（第三更）                                  | "Puissant !"                                                 | "Chapter 1652 - Strong!"                          
 1653 | 去往罗天（第一更）                                | En route vers Allheaven                                      | Chapter 1653 - Heading to Allheaven               
 1654 | 清水的女儿（第二更）                               | La fille de Qing Shui                                        | Chapter 1654 - Qing Shui’s Daughter               
 1655 | 掌尊现！（第三更）                                | "Le Souverain Apparaît !"                                    | "Chapter 1655 - Sovereign Appears!"               
 1656 | 大爆发！！（第四更）                               | "Grande Éruption !!"                                         | "Chapter 1656 - Grand Eruption!!"                 
 1657 | 决战（一）                                    | Bataille décisive (1)                                        | Chapter 1657 - Decisive Battle (1)                
 1658 | 决战（二）第二更                                 | Bataille décisive (2)                                        | Chapter 1658 - Decisive Battle (2)                
 1659 | 决战（三）第三更                                 | Bataille décisive (3)                                        | Chapter 1659 - Decisive Battle (3)                
 1660 | 决战（四）第四更                                 | Bataille décisive (4)                                        | Chapter 1660 - Decisive Battle (4)                
 1661 | 休整                                       | Repos                                                        | Chapter 1661 - Rest                               
 1662 | 八妃（第二更）                                  | Huitième concubine impériale                                 | Chapter 1662 - Eight Imperial Concubine           
 1663 | 毁阵！（第三更）                                 | "Détruire la Formation !"                                    | "Chapter 1663 - Destroying the Formation!"        
 1664 | 新纪元！                                     | "Une Nouvelle Ère !"                                         | "Chapter 1664 - A New Era!"                       
 1665 | 开辟！                                      | "Établir !"                                                  | "Chapter 1665 - Establish!"                       
 1666 | 祭奠                                       | Mémorial                                                     | Chapter 1666 - Memorial                           
 1667 | 重划此界                                     | Redessiner les Frontières                                    | Chapter 1667 - Redrawing the Boundaries           
 1668 | 属于西子的一年                                  | "L'année qui appartient à Xi Zi"                             | Chapter 1668 - The One Year That Belongs to Xi Z  
 1669 | 酒温，还不够                                   | "Le Vin n'est pas assez chaud"                               | Chapter 1669 - The Wine is Not Warm Enough        
 1670 | 远古凶兽                                     | Bêtes Féroces Ancestrales                                    | Chapter 1670 - Ancient Fierce Beasts              
 1671 | 是左眼么！                                    | "Est-ce l'Œil Gauche ?"                                      | Chapter 1671 - Is it the Left Eye                 
 1672 | 古族战印                                     | Marque de bataille du clan ancien                            | Chapter 1672 - Ancient Clan Battle Mark           
 1673 | 烨寞无子！                                    | "Ye Mo n'avait pas d'enfant !"                               | "Chapter 1673 - Ye Mo Had No Child!"              
 1674 | 撕天！！                                     | "Déchirer les Cieux !!"                                      | "Chapter 1674 - Tearing the Heavens!!"            
 1675 | 一年！                                      | "Un an !"                                                    | "Chapter 1675- One Year!"                         
 1676 | 清瘦的李倩梅（第一更）                              | "Li Qianmei s'est amaigrie"                                  | Chapter 1676 - Skinny Li Qianmei                  
 1677 | 第二年又六月（第二更）                              | Deuxième année, encore six mois                              | Chapter 1677 - Second Year, Another Six Months    
 1678 | 还是接受吧（第三更）                               | "Il faut encore l'accepter"                                  | Chapter 1678 - Still Should Accept It             
 1679 | 蚊兽重逢（第四更）                                | Retrouvailles avec les Bêtes Moustiques                      | Chapter 1679 - Reunion With the Mosquito Beasts   
 1680 | 意外的发现                                    | Découverte inattendue                                        | Chapter 1680 - Unexpected Discovery               
 1681 | 进入仙罡的剑尖！（有推荐票么）                          | "La pointe de l'épée qui pénètre le Continent Astral Immor   | "Chapter 1681 - The Tip of the Sword That Entere  
 1682 | 外来者                                      | Des Intrus                                                   | Chapter 1682 - Outsiders                          
 1683 | 此去，逆仙！                                   | "Un voyage pour défier les Cieux !"                          | "Chapter 1683 - The Trip to Defy the Celestials!  
 1684 | 仙龙显道                                     | Le Dragon Céleste révèle le Dao                              | Chapter 1684 - Celestial Dragon Reveals Dao       
 1685 | 一条蛇！                                     | "Un serpent !"                                               | "Chapter 1685 - A Snake!"                         
 1686 | 小红！（第一更）                                 | "Petit Rouge !"                                              | "Chapter 1686 - Little Red!"                      
 1687 | 远古开启（第二更）                                | "L'Ancien Royaume Céleste s'ouvre"                           | Chapter 1687 - The Ancient Celestial Realm Opens  
 1688 | 两弓之力！！（第四更）                              | "Sortez !"                                                   | "Chapter 1688 - Get Out!"                         
 1689 | (empty)                                  | "La puissance de deux flèches !!"                            | "Chapter 1689 - The Power of Two Arrows!!"         *
 1690 | 绝不会错！                                    | "Impossible de se tromper !"                                 | "Chapter 1690 - Can’t Be Wrong!"                  
 1691 | 绝不会错？                                    | Impossible de se tromper ?                                   | Chapter 1691 - Can’t Be Wrong                     
 1692 | 当年的约定                                    | "L'Accord d'Autrefois"                                       | Chapter 1692 - The Agreement From Back Then       
 1693 | 七彩来临                                     | "L'arrivée des Sept Couleurs"                                | Chapter 1693 - Seven-Color Arrives                
 1694 | 矾珊梦！                                     | "Fan Shanmeng !"                                             | "Chapter 1694 - Fan Shanmeng!"                    
 1695 | 三魂七魄！                                    | "Trois âmes, sept fragments !"                               | "Chapter 1695 - Three Souls, Seven Fragments!"    
 1696 | 反客为主（第一更）                                | "L'Invité Devient l'Hôte"                                    | Chapter 1696 - The Guest Becomes the Host         
 1697 | 帆布的鬼脸（第二更）                               | Le Visage Fantomatique sur la Voile                          | Chapter 1697 - The Ghostly Face on the Sail       
 1698 | 虚假么！（第三更）                                | "Faux, hein !"                                               | "Chapter 1698 - Fake, Eh!"                        
 1699 | 幻中幻！！（第四更）                               | "Illusion dans l'illusion !"                                 | "Chapter 1699 - Illusion Within Illusion!"        
 1700 | 决断                                       | Décisif                                                      | Chapter 1700 - Decisive                           
 1701 | 原因！                                      | "Raison !"                                                   | "Chapter 1701 - Reason!"                          
 1702 | 吼震七彩！（第一更）                               | "Un Rugissement qui ébranle les Sept Couleurs !"             | "Chapter 1702 - Roar Shocks Seven-Colored!"       
 1703 | 贪狼再现！（第二更）                               | "La cupidité refait surface !"                               | "Chapter 1703 - Greed Appears Once More!"         
 1704 | 一如既往的悲催！（第三更）                            | "Aussi misérable qu'auparavant !"                            | "Chapter 1704 - As Miserable as Before!"          
 1705 | 八星道古！（第四更）                               | "Un Être Ancestral à Huit Étoiles !"                         | "Chapter 1705 - Eight-Star Ancient One!"          
 1706 | 古脉苍穹血                                    | Sang Céleste de la Race Ancienne                             | Chapter 1706 - Ancient Race Heavenly Blood        
 1707 | 来自仙罡的期待                                  | "Les attentes de l'Immortal Astral Continent"                | Chapter 1707 - Expectations from the Immortal As  
 1708 | 第一人！                                     | "Le premier !"                                               | "Chapter 1708 - First One!"                       
 1709 | 皇尊的嫉妒！（求月票）                              | "L'Envie de l'Empereur !"                                    | "Chapter 1709 - Emperor’s Envy!"                  
 1710 | 一缕魂                                      | "Un Souffle d'Âme"                                           | Chapter 1710 - A Wisp of Soul                     
 1711 | 古道逆                                      | "Défi de l'Ancien Dao"                                       | Chapter 1711 - Ancient Dao Defying                
 1712 | 三命术！                                     | "Sortilège des Trois Vies !"                                 | "Chapter 1712 - Three Life Spell!"                
 1713 | 斩鬼帆！                                     | "Trancher la Voile Fantomatique !"                           | "Chapter 1713 - Chopping the Ghostly Sail!"       
 1714 | 禁制本源（第一更）                                | Essence de Restriction                                       | Chapter 1714 - Restriction Essence                
 1715 | 目丝如则（第二更）                                | "Les lignées de sang dans l'œil comme règle"                 | Chapter 1715 - Blood Lines in the Eye as the Rul  
 1716 | 算天运！（第三更）                                | "Un nouveau plan contre l'Omniscient !"                      | "Chapter 1716 - Scheme Again All-Seer!"           
 1717 | 天运子（第一更）                                 | "L'Omniscient"                                               | Chapter 1717 - All-Seer                           
 1718 | 轮回一体（第二更）                                | Intégration de la Réincarnation                              | Chapter 1718 - Reincarnation Integration          
 1719 | 诡异！（第三更）                                 | "Étrange !"                                                  | "Chapter 1719 - Strange!"                         
 1720 | 天运子，你能么？（第一更）                            | Voyant Suprême, en es-tu capable ?                           | Chapter 1720 - All-Seer, Can You Do It            
 1721 | 天运中计！（第二更）                               | "L'Omniscient tombe dans un piège !"                         | "Chapter 1721 - The All-Seer Falls Into a Trap!"  
 1722 | 他的身份！！（第三更）                              | "Son identité !!"                                            | "Chapter 1722 - His Identity!!"                   
 1723 | 天道！（第一更）                                 | "Le Dao Céleste !"                                           | "Chapter 1723 - Heavenly Dao!"                    
 1724 | 天运本尊！（第二更）                               | "Le Corps Originel du Voyant !"                              | "Chapter 1724 - The All-Seer’s Original Body!"    
 1725 | 逐鹿的资格！！（第三更）                             | "Les qualifications pour prétendre à la suprématie !"        | "Chapter 1725 - The Qualifications to Vie for Su  
 1726 | 重凝本源（第一更）                                | Réformer les Essences                                        | Chapter 1726 - Reforming Essences                 
 1727 | 阻拦！（第二更）                                 | "Bloqué !"                                                   | "Chapter 1727 - Blocked!"                         
 1728 | 玄罗入府！（第三更）                               | "Xuan Luo entre dans la grotte !"                            | "Chapter 1728 - Xuan Luo Enters the Cave!"        
 1729 | 五行星                                      | Planète des Cinq Éléments                                    | Chapter 1729 - Planet Five Elements               
 1730 | 大地本源！                                    | "Essence terrestre !"                                        | "Chapter 1730 - Earth essence!"                   
 1731 | 君火如家！（第一更）                               | "Seigneur du Feu !"                                          | "Chapter 1731 - Lord of Fire!"                    
 1732 | 原来他叫王林！（第二更）                             | "Alors, son nom est Wang Lin !"                              | "Chapter 1732 - So HisName is Wang Lin!"          
 1733 | 乾坤一滴！（第三更）                               | "Une goutte de l'univers !"                                  | "Chapter 1733 - One Drop of the Universe!"        
 1734 | 如此大恩！！（第四更）                              | "Quelle immense faveur !"                                    | "Chapter 1734 - Such a Great Favor!"              
 1735 | 步踏臂断！                                    | "Un pas, et le bras se brise !"                              | "Chapter 1735 - One Step the Arm Breaks!"         
 1736 | 九转心轮！                                    | "La Roue du Cœur aux Neuf Cycles !"                          | "Chapter 1736 - Nine Cycle Heart Wheel!"          
 1737 | 唯心故动！                                    | "Mon cœur s’émeut !"                                         | "Chapter 1737 - My Heart Happens to Stir!"        
 1738 | 身静引心！                                    | "Le corps calme guide le cœur !"                             | "Chapter 1738 - Calm Body Guides the Heart!"      
 1739 | 隔墙有耳！                                    | Les murs ont des oreilles                                    | Chapter 1739 - The Walls Have Ears                
 1740 | 马师伯！                                     | Armure aux doubles elements                                  | Chapter 1740 - Double Elements Armor              
 1741 | 玄罗大天尊！！                                  | "Grand Empyrean Xuan Luo !"                                  | "Chapter 1741 - Grand Empyrean Xuan Luo!"         
 1742 | 特殊的日子                                    | Un jour spécial                                              | Chapter 1742 - A Special Day                      
 1743 | 梦幻中的幸福                                   | La Joie dans le Rêve                                         | Chapter 1743 - The Joy in the Dream               
 1744 | 寻找，第三魂！（第三更）                             | "La recherche de la troisième âme !"                         | "Chapter 1744 - Search for the Third Soul!"       
 1745 | 七魄所属！                                    | "Localisation des Sept Fragments !"                          | "Chapter 1745 - Location of the Seven Fragments!  
 1746 | 三魂归位！（求月票！）                              | "Le retour des trois âmes !"                                 | "Chapter 1746 - Three Souls Return!"              
 1747 | 第三魂，是他！！                                 | "La Troisième Âme est Lui !"                                 | "Chapter 1747 - The Third Soul is Him!"           
 1748 | 变数！                                      | "Mutation !"                                                 | "Chapter 1748 - Mutation!"                        
 1749 | 空灭初现！                                    | "L'Extinction du Vide apparaît !"                            | "Chapter 1749 - Void Extinction Appears!"         
 1750 | 洞府开启！                                    | "La Grotte s'ouvre !"                                        | "Chapter 1750 - The Cave Opens!"                  
 1751 | 人聚                                       | Le Rassemblement                                             | Chapter 1751 - People Gather                      
 1752 | 猎场！                                      | "Terrain de chasse !"                                        | "Chapter 1752 - Hunting Ground!"                  
 1753 | 三百残界                                     | 300 mondes détruits                                          | Chapter 1753 - 300 Destroyed Worlds               
 1754 | 既定规则                                     | Établissement des Lois                                       | Chapter 1754 - Establishing the Laws              
 1755 | 紫霞                                       | Zi Xia                                                       | Chapter 1755 - Zi Xia                             
 1756 | 打赌                                       | Pari                                                         | Chapter 1756 - Bet                                
 1757 | 棋局！                                      | "État du jeu !"                                              | "Chapter 1757 - State of the Game!"               
 1758 | 等刀！                                      | "En attente de la lame !"                                    | "Chapter 1758 - Waiting for the Blade!"           
 1759 | 七彩来临！                                    | "L'arrivée des Sept Couleurs !"                              | "Chapter 1759 - Seven-Colored Arrives!"           
 1760 | 心机！                                      | "Complots !"                                                 | "Chapter 1760 - Scheming!"                        
 1761 | 七伏杀                                      | Sept Embuscades                                              | Chapter 1761 - Seven Ambushes                     
 1762 | 小决战                                      | Petite bataille décisive                                     | Chapter 1762 - Small Decisive Battle              
 1763 | 伏杀动！                                     | "Embuscade !"                                                | "Chapter 1763 - Ambushed!"                        
 1764 | 七彩劫！                                     | "La Calamité aux Sept Couleurs !"                            | "Chapter 1764 - Seven-Colored's Calamity!"        
 1765 | 道非现！                                     | "L'Apparition de Daofei !"                                   | "Chapter 1765 - Daofei Appears!"                  
 1766 | 东临宗                                      | Secte Dong Ling                                              | Chapter 1766 - Dong Ling Sect                     
 1767 | 残神欲夺                                     | "Saisir l'âme résiduelle"                                    | Chapter 1767 - Seize the Remanent Soul            
 1768 | 烨寞左臂                                     | Le bras gauche de Ye Mo                                      | Chapter 1768 - Ye Mo’s Left Arm                   
 1769 | 再临古墓！                                    | "Entrer de nouveau dans la Tombe Antique !"                  | "Chapter 1769 - Entering the Ancient Tomb Once M  
 1770 | 已司之傀                                     | "La Poupée Yi Si !"                                          | "Chapter 1770 - Yi Si Puppet!"                    
 1771 | 你可敢堂堂正正一战！                               | Osez-vous me combattre de front ?                            | Chapter 1771 - Do You Dare to Fight Me Head On    
 1772 | 玄罗出手！                                    | "Xuan Luo agit !"                                            | "Chapter 1772 - Xuan Luo Acts!"                   
 1773 | 困兽挣扎！                                    | "La lutte de la bête acculée !"                              | "Chapter 1773 - Struggle of the Trapped Beast!"   
 1774 | 掌尊魂！                                     | "L'Âme du Souverain !"                                       | "Chapter 1774 - The Sovereign’s Soul!"            
 1775 | 古墓传承！                                    | "Héritage de la Tombe Antique !"                             | "Chapter 1775 - Ancient Tomb Inheritance!"        
 1776 | 群战老鬼！                                    | "Le groupe contre le Vieux Fantôme Zhan !"                   | "Chapter 1776 - Group Against Old Ghost Zhan!"    
 1777 | 心动雷音！                                    | "Le Tonnerre qui fait trembler le cœur !"                    | "Chapter 1777 - Heart-Pounding Thunder!"          
 1778 | 道古无仙！                                    | "Ancien Dao, Aucun Céleste !"                                | "Chapter 1778 - Ancient Dao, No Celestials!"      
 1779 | 雨落东临青烟起！                                 | "La pluie tombe à l'est et la fumée s'élève !"               | "Chapter 1779 - The Rain Falls to the East and t  
 1780 | 翻手云道乾坤逆！                                 | "D'un simple geste, le Dao des Nuages est bouleversé !"      | "Chapter 1780 - With the Flip of a Hand the Clou  
 1781 | 吞云吐雾一门现                                  | Dévorer les nuages et cracher la brume pour faire apparaît   | Chapter 1781 - Devouring the Clouds and Spitting  
 1782 | 魔掌乾坤第一关                                  | "Le Premier Essai du Pouvoir Maléfique de l'Univers"         | Chapter 1782 - The First Trial of the Evil Power  
 1783 | 苏忆一变天地崩                                  | "Le Changement de la Mémoire de Su Provoque l'Effondrement   | Chapter 1783 - The Change of Su’s Memory Causes   
 1784 | 东临池内鱼龙变！！                                | "Le poisson se transforme en dragon dans le bassin Dong Li   | "Chapter 1784 - The Fish Turns Into a Dragon Ins  
 1785 | 焚翅欲寻仙罡梦                                  | Des ailes de désir pour atteindre le Continent Astral Immo   | Chapter 1785 - Burning Wings of Desire to Reach   
 1786 | 抱拳一拜尘土散                                  | Une prise de mains pour rendre hommage alors que la poussi   | Chapter 1786 - One Clasp of the Hands to Pay Res  
 1787 | 我宁与妻长厮守                                  | Je préférerais être avec ma femme pour toujours              | Chapter 1787 - I’d Rather Be With My Wife Foreve  
 1788 | 无悔苍天当年诺                                  | Sans regret quant à la promesse faite                        | Chapter 1788 - No Regrets About the Promise Made  
 1789 | 离别之涩                                     | Adieux difficiles                                            | Chapter 1789 - Difficult Goodbye                  
 1790 | 龙皇一现仙罡开（第一更）                             | "L'Empereur Dragon apparaît, le chemin vers le Continent A   | Chapter 1790 - The Dragon Emperor Appears, the P  
 1791 | 四灵铺路梦道在（第二更）                             | Les Quatre Esprits Ouvrent la Voie au Dao du Rêve            | Chapter 1791 - The Four Spirits Pave the Way for  
 1792 | 今夕王家送投胎！（第三更）                            | "Ce soir, la famille Wang sera envoyée à la réincarnation    | "Chapter 1792 - This Evening, the Wang Family Wi  
 1793 | 叱咤风云仙罡见 本卷终（第一更）                         | Ébranler tout le Continent Astral Immortel                   | Chapter 1793 - Shake the Entire Immortal Astral   
 1794 | 一声师尊守古脉（第二更）                             | "Une promesse à l'Enseignant : protéger la race ancienne"    | Chapter 1794 - A Promise to Teacher to Guard the  
 1795 | 皇尊一念祸根现（第三更）                             | "Une pensée de l'Empereur, les racines des ennuis apparais   | Chapter 1795 - A Thought of the Emperor, Roots o  
 1796 | 倔强的意志！（第一更）                              | "Une Volonté Puissante !"                                    | "Chapter 1796 - Powerful Will!"                   
 1797 | 奇异的白光（第二更）                               | Étrange lumière blanche                                      | Chapter 1797 - Strange White Light                
 1798 | 未来最强分身！（第三更）                             | "L'Avatar le Plus Puissant du Futur !"                       | "Chapter 1798 - The Strongest Avatar in the Futu  
 1799 | 仙罡震撼！（第一更）                               | "Le Continent Astral Immortel Tremble !"                     | "Chapter 1799 - Immortal Astral Continent Trembl  
 1800 | 仙罡大陆，我来了！（第二更）                           | "Continent Astral Immortel, j'arrive !"                      | "Chapter 1800 - Immortal Astral Continent, I’m C  
 1801 | 有古怪、有问题、有宝贝！（第三更）                        | "Il y a quelque chose d'étrange, il y a un problème, il y    | "Chapter 1801 - There is Something Strange, Ther  
 1802 | 带煞回府（第一更）                                | Ramenez-le dans la grotte                                    | Chapter 1802 - Bring It Back to the Cave          
 1803 | 地火变！（第二更）                                | "Le Feu Terrestre Change !"                                  | "Chapter 1803 - The Earth Fire is Changing!"      
 1804 | 仙罡第一战！（第三更）                              | "Première bataille sur le continent Astral Immortel !"       | "Chapter 1804 - First Battle On the Immortal Ast  
 1805 | 老祖归来！（第一更）                               | "Le Vieil Ancêtre est de retour !"                           | "Chapter 1805 - The Old Ancestor Returns!"        
 1806 | 储物空间的问题（第二更）                             | "Le Problème de l'Espace de Stockage"                        | Chapter 1806 - The Problem With the Storage Spac  
 1807 | 思念贪狼！（第三更）                               | "La Cupidité disparue !"                                     | "Chapter 1807 - Missing Greed!"                   
 1808 | 大补！（第一更）                                 | "Un complément de taille !"                                  | "Chapter 1808 - Large Supplement!"                
 1809 | 杜青的骇然！（第二更）                              | "L'Horreur de Du Qing !"                                     | "Chapter 1809 - Du Qing’s Horror!"                
 1810 | 群龙一雀吞地脉！（第三更）                            | "Une meute de dragons, un oiseau vermillon dévore la veine   | "Chapter 1810 - Pack of Dragons, One Vermillion   
 1811 | 惊吓杜青！（第一更）                               | "Effrayer Du Qing !"                                         | "Chapter 1811 - Scaring Du Qing!"                 
 1812 | 与王林比本源（第二更）                              | Comparaison des Essences avec Wang Lin                       | Chapter 1812 - Comparing Essences With Wang Lin   
 1813 | 太坑人了！（第三更）                               | "Trop Vicieux !"                                             | "Chapter 1813 - Too Vicious!"                     
 1814 | 玄罗的感应                                    | Les Sens de Xuan Luo                                         | Chapter 1814 - Xuan Luo’s Senses                  
 1815 | 凝本源真身！                                   | "Formation d'un Corps Véritable d'Essence !"                 | "Chapter 1815 - Forming an Essence True Body!"    
 1816 | 真身憾                                      | "Émotions concernant l'essence du vrai corps"                | Chapter 1816 - Emotions about the essence true b  
 1817 | 青牛真人                                     | Le Très Respecté Taureau Vert                                | Chapter 1817 - Esteemed Green Bull                
 1818 | 自不量力？                                    | Surestimer ses propres capacités ?                           | Chapter 1818 - Overestimating your own capabilit  
